Mega Millions,12,5,2003,12,44,15,18,1,42,4
Mega Millions,12,9,2003,14,15,48,4,24,41,4
Mega Millions,12,12,2003,16,32,46,9,45,26,4
Mega Millions,12,16,2003,47,16,31,24,46,47,3
Mega Millions,12,19,2003,5,10,39,17,35,38,3
Mega Millions,12,23,2003,2,49,13,21,22,52,4
Mega Millions,12,26,2003,29,20,10,17,1,36,2
Mega Millions,12,30,2003,46,21,12,32,18,49,4
Mega Millions,1,2,2004,8,7,36,48,44,9,4
Mega Millions,1,6,2004,32,7,15,25,13,9,4
Mega Millions,1,9,2004,49,24,47,32,38,12,4
Mega Millions,1,13,2004,18,21,17,45,3,21,4
Mega Millions,1,16,2004,49,12,26,41,44,44,3
Mega Millions,1,20,2004,45,5,14,7,21,36,4
Mega Millions,1,23,2004,18,10,33,46,51,13,4
Mega Millions,1,27,2004,38,20,10,50,6,27,3
Mega Millions,1,30,2004,40,28,17,51,30,44,4
Mega Millions,2,3,2004,41,26,21,35,9,17,4
Mega Millions,2,6,2004,6,16,49,30,1,13,4
Mega Millions,2,10,2004,32,22,10,3,7,23,2
Mega Millions,2,13,2004,30,45,14,43,42,30,4
Mega Millions,2,17,2004,36,34,2,52,8,21,4
Mega Millions,2,20,2004,1,30,21,20,13,24,4
Mega Millions,2,24,2004,6,52,49,43,11,21,3
Mega Millions,2,27,2004,9,36,52,24,2,44,4
Mega Millions,3,2,2004,25,50,30,35,40,4,4
Mega Millions,3,5,2004,49,30,40,52,47,3,3
Mega Millions,3,9,2004,29,36,23,51,16,49,4
Mega Millions,3,12,2004,32,4,36,29,35,11,4
Mega Millions,3,16,2004,51,49,45,28,3,52,4
Mega Millions,3,19,2004,9,32,14,6,50,4,4
Mega Millions,3,23,2004,46,22,12,39,35,32,4
Mega Millions,3,26,2004,37,8,17,10,49,20,3
Mega Millions,3,30,2004,3,45,31,27,41,33,3
Mega Millions,4,2,2004,17,46,25,8,47,13,4
Mega Millions,4,6,2004,39,32,29,8,17,49,4
Mega Millions,4,9,2004,11,23,10,8,2,40,3
Mega Millions,4,13,2004,13,51,39,50,36,34,3
Mega Millions,4,16,2004,51,24,42,29,6,41,4
Mega Millions,4,20,2004,37,48,46,22,12,49,4
Mega Millions,4,23,2004,48,22,47,25,8,27,4
Mega Millions,4,27,2004,10,35,17,1,23,45,4
Mega Millions,4,30,2004,32,50,39,21,15,34,4
Mega Millions,5,4,2004,15,37,39,29,3,40,3
Mega Millions,5,7,2004,19,44,14,17,50,17,4
Mega Millions,5,11,2004,9,34,25,37,30,30,4
Mega Millions,5,14,2004,10,32,36,19,46,6,3
Mega Millions,5,18,2004,46,44,2,51,36,45,3
Mega Millions,5,21,2004,49,20,27,4,38,31,4
Mega Millions,5,25,2004,39,5,36,34,18,43,4
Mega Millions,5,28,2004,13,27,39,36,51,33,3
Mega Millions,6,1,2004,7,17,16,48,26,15,4
Mega Millions,6,4,2004,4,47,16,18,41,46,3
Mega Millions,6,8,2004,45,37,17,29,24,43,3
Mega Millions,6,11,2004,28,12,52,39,36,36,4
Mega Millions,6,15,2004,29,27,18,23,44,24,2
Mega Millions,6,18,2004,10,15,7,51,11,23,4
Mega Millions,6,22,2004,10,52,17,41,9,19,4
Mega Millions,6,25,2004,32,18,19,29,42,32,4
Mega Millions,6,29,2004,10,13,19,38,28,1,2
Mega Millions,7,2,2004,39,38,25,10,50,12,3
Mega Millions,7,6,2004,6,31,7,8,48,19,3
Mega Millions,7,9,2004,29,11,45,23,25,16,3
Mega Millions,7,13,2004,37,52,39,13,31,38,4
Mega Millions,7,16,2004,35,44,21,3,22,7,4
Mega Millions,7,20,2004,44,6,15,32,21,13,3
Mega Millions,7,23,2004,37,5,35,12,25,12,4
Mega Millions,7,27,2004,24,13,8,10,11,46,4
Mega Millions,7,30,2004,19,21,34,16,35,22,4
Mega Millions,8,3,2004,1,13,2,16,22,31,4
Mega Millions,8,6,2004,23,38,4,33,49,7,3
Mega Millions,8,10,2004,31,25,18,44,29,33,3
Mega Millions,8,13,2004,14,45,31,48,41,20,4
Mega Millions,8,17,2004,36,22,28,26,23,10,4
Mega Millions,8,20,2004,12,17,37,34,39,34,3
Mega Millions,8,24,2004,5,2,47,50,21,46,3
Mega Millions,8,27,2004,5,46,25,47,38,14,4
Mega Millions,8,31,2004,14,42,25,15,44,3,2
Mega Millions,9,3,2004,14,44,34,38,4,10,4
Mega Millions,9,7,2004,30,51,36,38,13,35,3
Mega Millions,9,10,2004,17,11,52,27,45,5,4
